Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-30 05:15:00,6560.08,6564.11,6552.2,6559.07,273.170712,2018-09-30 05:29:59.999,1791287.82476333,1256,135.284077,887264.03065637,0,0.0,-1.0,-1.0
2018-09-30 05:30:00,6559.06,6570.0,6559.0,6568.95,236.835456,2018-09-30 05:44:59.999,1554407.85118626,1659,108.85101,714474.60179437,0,0.0,-1.0,-1.0
2018-09-30 05:45:00,6566.78,6575.93,6560.62,6564.03,168.666974,2018-09-30 05:59:59.999,1107982.45739371,1234,60.711753,398802.83635159,0,0.0,-1.0,-1.0
2018-09-30 06:00:00,6565.0,6578.52,6564.02,6576.99,299.197391,2018-09-30 06:14:59.999,1965767.05321315,1506,137.048877,900433.71143228,0,0.0,-1.0,-1.0
2018-09-30 06:15:00,6576.99,6579.83,6569.42,6569.63,142.528517,2018-09-30 06:29:59.999,936971.1032,1212,66.813522,439311.39167833,0,0.0,-1.0,-1.0
2018-09-30 06:30:00,6570.87,6574.66,6567.68,6572.01,303.644991,2018-09-30 06:44:59.999,1995648.53257132,1149,249.433667,1639387.54739732,0,0.0,-1.0,-1.0
2018-09-30 06:45:00,6572.0,6594.01,6571.66,6583.68,157.116474,2018-09-30 06:59:59.999,1034304.25333613,1694,86.778254,571242.99405186,0,1.0,-1.0,-1.0
2018-09-30 07:00:00,6584.29,6602.44,6580.8,6587.21,160.404337,2018-09-30 07:14:59.999,1057466.29607082,1613,100.952795,665676.13930627,0,1.0,1.0,-1.0
2018-09-30 07:15:00,6587.19,6587.19,6576.14,6577.08,85.147037,2018-09-30 07:29:59.999,560379.4785587,1260,55.597394,365909.82368333,0,0.0,-1.0,-1.0
2018-09-30 07:30:00,6579.19,6582.0,6571.0,6575.02,94.388889,2018-09-30 07:44:59.999,620803.44558396,1121,60.397882,397262.82734986,0,-1.0,-1.0,-1.0
2018-09-30 07:45:00,6575.01,6583.02,6571.03,6577.75,107.578048,2018-09-30 07:59:59.999,707779.40046942,1327,68.505875,450732.65717786,0,0.0,-1.0,-1.0
2018-09-30 08:00:00,6577.77,6587.97,6575.32,6585.26,127.237953,2018-09-30 08:14:59.999,837531.65282317,1181,72.808429,479270.06002509,0,0.0,1.0,-1.0
2018-09-30 08:15:00,6586.0,6592.51,6582.67,6588.99,104.146385,2018-09-30 08:29:59.999,685976.08599146,1311,59.142568,389586.40710715,0,1.0,1.0,-1.0
2018-09-30 08:30:00,6589.0,6590.0,6582.92,6584.93,632.660259,2018-09-30 08:44:59.999,4166928.80636678,1411,285.80111,1882358.12887618,0,0.0,1.0,-1.0
2018-09-30 08:45:00,6584.93,6591.0,6580.34,6588.03,428.884716,2018-09-30 08:59:59.999,2823977.65809332,1305,198.18364,1304971.41074894,0,0.0,1.0,-1.0
2018-09-30 09:00:00,6588.03,6605.99,6588.02,6593.03,373.345966,2018-09-30 09:14:59.999,2462550.13038962,2014,173.653987,1145673.16273585,0,1.0,1.0,-1.0
2018-09-30 09:15:00,6592.52,6597.64,6576.29,6578.79,225.166421,2018-09-30 09:29:59.999,1483185.71560728,1763,119.604215,787997.78775604,0,0.0,-1.0,-1.0
2018-09-30 09:30:00,6578.8,6585.67,6575.52,6581.98,112.946191,2018-09-30 09:44:59.999,743209.71206149,1366,59.161651,389327.05555418,0,0.0,-1.0,-1.0
2018-09-30 09:45:00,6581.97,6592.0,6578.13,6587.74,84.658897,2018-09-30 09:59:59.999,557501.66187286,1092,43.702284,287834.09131117,0,0.0,1.0,-1.0
2018-09-30 10:00:00,6587.74,6597.64,6582.2,6595.38,316.389464,2018-09-30 10:14:59.999,2084529.46007825,1637,170.27912,1122107.99991397,0,0.0,1.0,-1.0
2018-09-30 10:15:00,6595.38,6611.37,6593.04,6609.98,245.692604,2018-09-30 10:29:59.999,1622063.16240307,2170,137.960706,910797.99981123,0,1.0,1.0,-1.0
2018-09-30 10:30:00,6608.33,6653.82,6600.0,6637.51,850.248679,2018-09-30 10:44:59.999,5644617.58627563,4694,516.161837,3425887.94209342,0,0.0,1.0,-1.0
2018-09-30 10:45:00,6639.99,6651.69,6630.72,6637.98,449.090881,2018-09-30 10:59:59.999,2982334.28848943,2303,208.521455,1384881.2184395,0,1.0,1.0,-1.0
2018-09-30 11:00:00,6637.98,6662.0,6636.06,6645.73,745.315307,2018-09-30 11:14:59.999,4956155.62402127,2454,391.255623,2601526.00354076,0,0.0,1.0,-1.0
2018-09-30 11:15:00,6644.96,6656.0,6642.98,6645.0,176.554457,2018-09-30 11:29:59.999,1173776.38829451,1731,123.544542,821367.81374045,0,1.0,1.0,-1.0
2018-09-30 11:30:00,6645.0,6645.0,6623.33,6627.87,497.158876,2018-09-30 11:44:59.999,3298128.68052124,2185,241.615326,1602255.84094013,0,0.0,1.0,-1.0
2018-09-30 11:45:00,6627.89,6639.24,6621.22,6627.93,314.388853,2018-09-30 11:59:59.999,2083447.5770019,1758,180.727105,1197703.67304623,0,0.0,1.0,-1.0
2018-09-30 12:00:00,6634.4,6645.05,6627.0,6633.6,215.470459,2018-09-30 12:14:59.999,1430390.86294395,1500,103.567483,687490.27671517,0,0.0,1.0,-1.0
2018-09-30 12:15:00,6630.55,6633.56,6617.31,6626.0,166.721919,2018-09-30 12:29:59.999,1104689.28629014,1742,100.18458,663867.15642418,0,-1.0,1.0,-1.0
2018-09-30 12:30:00,6624.97,6637.25,6623.95,6632.96,244.176775,2018-09-30 12:44:59.999,1619249.5697847,1538,143.828298,953885.65883191,0,0.0,1.0,-1.0
